timestamp,production_kw,consumption_kw,consumption_xgb,feed_in_kw,feed_in_xgb,grid_consumption_kw
2023-01-01 00:00:00,0.0,5.6,5.6580086,0.0,0.0024481157,5.6
2023-01-01 00:15:00,0.0,5.4,5.4373956,0.0,0.0024481157,5.4
2023-01-01 00:30:00,0.0,5.4,5.4373956,0.0,0.0024481157,5.4
2023-01-01 00:45:00,0.0,5.0,5.0597844,0.0,0.0024481157,5.0
2023-01-01 01:00:00,0.0,5.6,5.6580086,0.0,0.0024481157,5.6
2023-01-01 01:15:00,0.0,5.6,5.6580086,0.0,0.0024481157,5.6
2023-01-01 01:30:00,0.0,5.4,5.4373956,0.0,0.0024481157,5.4
2023-01-01 01:45:00,0.0,5.0,5.0597844,0.0,0.0024481157,5.0
2023-01-01 02:00:00,0.0,5.2,5.244669,0.0,0.0024481157,5.2
2023-01-01 02:15:00,0.0,5.4,5.4373956,0.0,0.0024481157,5.4
2023-01-01 02:30:00,0.0,5.4,5.4373956,0.0,0.0024481157,5.4
2023-01-01 02:45:00,0.0,5.0,5.0597844,0.0,0.0024481157,5.0
2023-01-01 03:00:00,0.0,5.4,5.4373956,0.0,0.0024481157,5.4
2023-01-01 03:15:00,0.0,5.2,5.244669,0.0,0.0024481157,5.2
2023-01-01 03:30:00,0.0,5.4,5.4373956,0.0,0.0024481157,5.4
2023-01-01 03:45:00,0.0,5.0,5.0597844,0.0,0.0024481157,5.0
2023-01-01 04:00:00,0.0,5.4,5.4411345,0.0,0.0024481157,5.4
2023-01-01 04:15:00,0.0,5.4,5.4411345,0.0,0.0024481157,5.4
2023-01-01 04:30:00,0.0,5.6,5.6618705,0.0,0.0024481157,5.6
2023-01-01 04:45:00,0.0,5.0,5.0635233,0.0,0.0024481157,5.0
2023-01-01 05:00:00,0.0,5.6,5.7423134,0.0,0.0024481157,5.6
2023-01-01 05:15:00,0.0,6.0,6.019327,0.0,0.0024481157,6.0
2023-01-01 05:30:00,0.0,5.6,5.7423134,0.0,0.0024481157,5.6
2023-01-01 05:45:00,0.0,6.0,6.019327,0.0,0.0024481157,6.0
2023-01-01 06:00:00,0.0,6.0,5.943412,0.0,0.0024481157,6.0
2023-01-01 06:15:00,0.0,5.8,5.8091598,0.0,0.0024481157,5.8
2023-01-01 06:30:00,0.0,5.8,5.8091598,0.0,0.0024481157,5.8
2023-01-01 06:45:00,0.0,6.0,5.943412,0.0,0.0024481157,6.0
2023-01-01 07:00:00,0.0,6.2,6.09729,0.0,0.0018206047,6.2
2023-01-01 07:15:00,0.0,5.6,5.674019,0.0,0.0018206047,5.6
2023-01-01 07:30:00,0.0,6.0,5.943412,0.0,0.0018206047,6.0
2023-01-01 07:45:00,0.0,6.2,6.09729,0.0,0.0018206047,6.2
2023-01-01 08:00:00,0.0,5.8,5.7806797,0.0,0.0,5.8
2023-01-01 08:15:00,0.0,6.0,5.914932,0.0,0.0,6.0
2023-01-01 08:30:00,0.2,5.600000000000001,5.3966737,0.0,0.0,5.4
