timestamp,production_kw,consumption_kw,consumption_rule,feed_in_kw,feed_in_rule,grid_consumption_kw
2023-01-01 00:00:00,0.0,5.6,5.6,0.0,0.0,5.6
2023-01-01 00:15:00,0.0,5.4,5.4,0.0,0.0,5.4
2023-01-01 00:30:00,0.0,5.4,5.4,0.0,0.0,5.4
2023-01-01 00:45:00,0.0,5.0,5.0,0.0,0.0,5.0
2023-01-01 01:00:00,0.0,5.6,5.6,0.0,0.0,5.6
2023-01-01 01:15:00,0.0,5.6,5.6,0.0,0.0,5.6
2023-01-01 01:30:00,0.0,5.4,5.4,0.0,0.0,5.4
2023-01-01 01:45:00,0.0,5.0,5.0,0.0,0.0,5.0
2023-01-01 02:00:00,0.0,5.2,5.2,0.0,0.0,5.2
2023-01-01 02:15:00,0.0,5.4,5.4,0.0,0.0,5.4
2023-01-01 02:30:00,0.0,5.4,5.4,0.0,0.0,5.4
2023-01-01 02:45:00,0.0,5.0,5.0,0.0,0.0,5.0
2023-01-01 03:00:00,0.0,5.4,5.4,0.0,0.0,5.4
2023-01-01 03:15:00,0.0,5.2,5.2,0.0,0.0,5.2
2023-01-01 03:30:00,0.0,5.4,5.4,0.0,0.0,5.4
2023-01-01 03:45:00,0.0,5.0,5.0,0.0,0.0,5.0
2023-01-01 04:00:00,0.0,5.4,5.4,0.0,0.0,5.4
2023-01-01 04:15:00,0.0,5.4,5.4,0.0,0.0,5.4
2023-01-01 04:30:00,0.0,5.6,5.6,0.0,0.0,5.6
2023-01-01 04:45:00,0.0,5.0,5.0,0.0,0.0,5.0
2023-01-01 05:00:00,0.0,5.6,5.6,0.0,0.0,5.6
2023-01-01 05:15:00,0.0,6.0,6.0,0.0,0.0,6.0
2023-01-01 05:30:00,0.0,5.6,5.6,0.0,0.0,5.6
2023-01-01 05:45:00,0.0,6.0,6.0,0.0,0.0,6.0
2023-01-01 06:00:00,0.0,6.0,6.0,0.0,0.0,6.0
2023-01-01 06:15:00,0.0,5.8,5.8,0.0,0.0,5.8
2023-01-01 06:30:00,0.0,5.8,5.8,0.0,0.0,5.8
2023-01-01 06:45:00,0.0,6.0,6.0,0.0,0.0,6.0
2023-01-01 07:00:00,0.0,6.2,6.2,0.0,0.0,6.2
2023-01-01 07:15:00,0.0,5.6,5.6,0.0,0.0,5.6
2023-01-01 07:30:00,0.0,6.0,6.0,0.0,0.0,6.0
2023-01-01 07:45:00,0.0,6.2,6.2,0.0,0.0,6.2
2023-01-01 08:00:00,0.0,5.8,5.8,0.0,0.0,5.8
2023-01-01 08:15:00,0.0,6.0,6.0,0.0,0.0,6.0
2023-01-01 08:30:00,0.2,5.600000000000001,5.6000000000000005,0.0,0.0,5.4
2023-01-01 08:45:00,0.4,5.2,5.2,0.0,0.0,4.8
2023-01-01 09:00:00,1.2,4.8,4.8,0.0,0.0,3.6
2023-01-01 09:15:00,6.0,4.800000000000001,8.967068759326109,1.6,0.0,0.4
2023-01-01 09:30:00,9.0,5.0,8.967068759326109,4.0,0.03293124067389108,0.0
2023-01-01 09:45:00,15.6,4.799999999999999,8.967068759326109,10.8,6.632931240673891,0.0
2023-01-01 10:00:00,17.8,4.800000000000001,5.7152745938562015,13.0,12.0847254061438,0.0
2023-01-01 10:15:00,20.4,4.999999999999998,5.7152745938562015,15.4,14.684725406143798,0.0
2023-01-01 10:30:00,17.6,4.800000000000001,5.7152745938562015,12.8,11.8847254061438,0.0
2023-01-01 10:45:00,5.8,5.600000000000001,5.7152745938562015,0.6,0.08472540614379831,0.4
2023-01-01 11:00:00,3.0,5.0,5.0,0.0,0.0,2.0
2023-01-01 11:15:00,2.2,5.2,5.2,0.0,0.0,3.0
2023-01-01 11:30:00,3.4,5.0,5.0,0.0,0.0,1.6
2023-01-01 11:45:00,2.6,5.0,5.0,0.0,0.0,2.4
2023-01-01 12:00:00,3.6,5.0,5.0,0.0,0.0,1.4
2023-01-01 12:15:00,4.0,4.8,5.0,0.2,0.0,1.0
2023-01-01 12:30:00,3.4,5.0,5.0,0.0,0.0,1.6
2023-01-01 12:45:00,5.0,5.199999999999999,5.6,0.4,0.0,0.6
2023-01-01 13:00:00,6.8,5.199999999999999,22.269863072612097,1.6,0.0,0.0
2023-01-01 13:15:00,7.8,5.0,22.269863072612097,2.8,0.0,0.0
2023-01-01 13:30:00,7.8,5.199999999999999,22.269863072612097,2.6,0.0,0.0
2023-01-01 13:45:00,10.0,5.0,22.269863072612097,5.0,0.0,0.0
2023-01-01 14:00:00,7.4,5.0,9.656843279274272,2.4,0.0,0.0
2023-01-01 14:15:00,3.6,5.0,5.2,0.2,0.0,1.6
2023-01-01 14:30:00,2.4,5.199999999999999,5.199999999999999,0.0,0.0,2.8
